ID,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,income_group_num,EducationLevel,Marital_Status_Encoded,has_kids,month_year,year_half,Age
9381,66373,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,3,3,2,1,2013-12,2013.0 - Second Half,35.0
10383,70287,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,4,3,1,0,2013-02,2013.0 - First Half,47.0
8375,55954,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,3,5,2,1,2014-03,2014.0 - First Half,46.0
6853,75777,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,4,4,1,0,2013-04,2013.0 - First Half,31.0
3076,66653,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,3,3,2,1,2012-07,2012.0 - Second Half,37.0
6518,67680,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,3,5,1,1,2013-11,2013.0 - Second Half,62.0
4137,70666,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,4,3,2,0,2013-06,2013.0 - First Half,65.0
1386,32474,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,1,3,2,1,2014-11,2014.0 - Second Half,47.0
1357,74854,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,4,3,2,1,2013-08,2013.0 - Second Half,43.0
1402,66991,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,3,4,2,0,2012-11,2012.0 - Second Half,58.0
8132,60631,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,3,5,2,1,2013-05,2013.0 - First Half,38.0
7503,75825,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,4,3,1,0,2012-12,2012.0 - Second Half,36.0
10401,26326,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,1,2,2,0,2013-04,2013.0 - First Half,37.0
1618,56046,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,3,3,2,0,2013-02,2013.0 - First Half,48.0
5346,23559,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,2,2,1,2013-03,2013.0 - First Half,40.0
4119,38620,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,2,4,2,0,2013-11,2013.0 - Second Half,50.0
5268,29440,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,1,3,2,1,2013-11,2013.0 - Second Half,53.0
8504,79593,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,4,3,2,0,2014-12,2014.0 - Second Half,41.0
11100,51813,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,3,3,1,1,2013-11,2013.0 - Second Half,41.0
4646,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,4,2,2,0,2013-01,2013.0 - First Half,62.0
8908,87195,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,4,3,2,0,2014-08,2014.0 - Second Half,55.0
8373,24594,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,1,2,1,2013-10,2013.0 - Second Half,34.0
2683,52413,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,3,3,2,1,2013-02,2013.0 - First Half,44.0
10991,89058,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,4,4,2,0,2012-07,2012.0 - Second Half,52.0
5077,77298,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,4,3,2,1,2013-02,2013.0 - First Half,34.0
7431,68126,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,3,5,1,0,2012-10,2012.0 - Second Half,21.0
999,86037,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,4,3,1,0,2013-02,2013.0 - First Half,22.0
9215,43974,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,2,5,2,1,2012-12,2012.0 - Second Half,32.0
2286,50785,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,3,1,1,2013-10,2013.0 - Second Half,51.0
5234,30753,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,1,2,2,1,2013-11,2013.0 - Second Half,46.0
8442,19510,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,1,4,2,1,2013-04,2013.0 - First Half,28.0
7215,101970,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,4,3,1,0,2013-12,2013.0 - Second Half,30.0
3381,54348,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,3,4,2,1,2014-08,2014.0 - Second Half,61.0
8268,52247,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,3,5,2,1,2013-11,2013.0 - Second Half,52.0
11051,77376,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,4,5,2,1,2014-10,2014.0 - Second Half,58.0
433,61331,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,3,4,1,1,2013-10,2013.0 - Second Half,55.0
9597,73448,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,4,3,2,0,2014-10,2014.0 - Second Half,45.0
1295,52247,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,3,3,2,1,2013-11,2013.0 - Second Half,50.0
5342,9548,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,1,1,1,2012-08,2012.0 - Second Half,36.0
9579,33762,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,1,5,2,1,2013-07,2013.0 - Second Half,54.0
7987,65747,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,3,3,2,1,2014-07,2014.0 - Second Half,45.0
92,34176,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1,3,1,1,2014-12,2014.0 - Second Half,26.0
7055,61010,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,3,5,2,1,2012-09,2012.0 - Second Half,60.0
3025,49967,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,2,3,1,1,2013-08,2013.0 - Second Half,55.0
9283,60199,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,3,3,1,1,2013-12,2013.0 - Second Half,35.0
2795,30523,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,1,4,1,1,2013-01,2013.0 - First Half,55.0
9260,70356,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,4,5,2,0,2012-05,2012.0 - First Half,67.0
8182,23228,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,1,3,2,1,2014-05,2014.0 - First Half,30.0
10095,74165,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,4,5,1,0,2013-01,2013.0 - First Half,38.0
8475,157243,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,4,5,2,1,2014-01,2014.0 - First Half,41.0
6637,66951,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,3,3,1,0,2013-02,2013.0 - First Half,25.0
641,52074,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,3,3,1,1,2014-04,2014.0 - First Half,47.0
8717,80427,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,4,5,2,1,2012-12,2012.0 - Second Half,37.0
6935,78497,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,4,2,2,0,2013-01,2013.0 - First Half,62.0
7698,51650,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,2,5,2,1,2014-11,2014.0 - Second Half,38.0
3559,16248,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1,2,2,1,2014-10,2014.0 - Second Half,26.0
3518,25271,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,1,3,2,1,2012-05,2012.0 - First Half,29.0
5823,32303,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,1,5,1,1,2014-08,2014.0 - Second Half,44.0
3934,61286,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,3,3,2,1,2013-02,2013.0 - First Half,47.0
9733,24882,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,1,1,2,1,2012-09,2012.0 - Second Half,34.0
10424,75922,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,4,3,1,0,2013-09,2013.0 - Second Half,45.0
2798,102160,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,4,5,2,0,2012-02,2012.0 - First Half,35.0
624,18890,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,1,4,1,0,2012-10,2012.0 - Second Half,28.0
5176,29604,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,1,3,2,1,2013-08,2013.0 - Second Half,25.0
868,44794,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,2,3,2,1,2014-08,2014.0 - Second Half,48.0
380,64497,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,3,3,1,1,2012-10,2012.0 - Second Half,58.0
6927,44377,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,2,5,2,1,2012-05,2012.0 - First Half,44.0
0,70951,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,4,3,2,0,2013-04,2013.0 - First Half,28.0
1584,41443,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,2,3,2,1,2014-01,2014.0 - First Half,37.0
7264,52195,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,3,2,1,1,2014-12,2014.0 - Second Half,36.0
1755,45204,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,2,2,2,1,2014-11,2014.0 - Second Half,26.0
9076,30732,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,1,5,2,1,2013-05,2013.0 - First Half,33.0
7079,63887,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,3,3,1,1,2012-08,2012.0 - Second Half,50.0
709,51537,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,2,3,1,1,2012-09,2012.0 - Second Half,60.0
460,79930,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,4,5,2,0,2012-08,2012.0 - Second Half,40.0
5341,81975,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,4,2,1,1,2013-05,2013.0 - First Half,51.0
89,22212,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,1,2,2,1,2013-09,2013.0 - Second Half,38.0
2936,23661,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,1,4,2,1,2013-04,2013.0 - First Half,31.0
9449,79761,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,4,5,1,1,2013-04,2013.0 - First Half,55.0
7411,31686,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,1,5,2,1,2014-05,2014.0 - First Half,50.0
9265,75027,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,4,3,2,1,2013-09,2013.0 - Second Half,60.0
10089,102692,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,4,3,1,0,2013-05,2013.0 - First Half,39.0
2661,18701,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,1,3,1,1,2013-04,2013.0 - First Half,49.0
3153,40737,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,2,5,1,1,2013-08,2013.0 - Second Half,56.0
10264,15287,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,1,3,1,1,2012-10,2012.0 - Second Half,33.0
2387,43776,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,2,4,2,1,2013-03,2013.0 - First Half,61.0
4557,22070,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,1,3,2,1,2013-04,2013.0 - First Half,43.0
3066,61905,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,3,5,2,1,2014-04,2014.0 - First Half,39.0
6336,29315,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,1,3,2,1,2014-06,2014.0 - First Half,54.0
10967,33378,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,1,3,1,1,2013-06,2013.0 - First Half,50.0
3762,69867,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,4,5,1,0,2013-02,2013.0 - First Half,27.0
4669,24480,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,1,1,2,1,2013-11,2013.0 - Second Half,32.0
1672,65640,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,3,5,2,1,2014-01,2014.0 - First Half,40.0
9974,30631,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,1,3,2,1,2013-12,2013.0 - Second Half,39.0
8148,50898,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,2,4,2,1,2013-08,2013.0 - Second Half,57.0
10102,79946,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,4,3,1,0,2014-12,2014.0 - Second Half,48.0
9262,32414,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,1,2,2,0,2013-04,2013.0 - First Half,29.0
10451,29672,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,1,3,2,1,2013-12,2013.0 - Second Half,48.0
2874,35388,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,1,2,1,1,2013-07,2013.0 - Second Half,25.0
7119,68627,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,4,3,1,0,2013-12,2013.0 - Second Half,31.0
5596,58821,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,3,2,2,1,2013-12,2013.0 - Second Half,57.0
10812,46377,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,2,5,2,1,2014-01,2014.0 - First Half,36.0
6963,77457,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,4,3,1,0,2014-05,2014.0 - First Half,67.0
4440,64100,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,3,4,2,1,2013-10,2013.0 - Second Half,49.0
2437,52247,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,3,3,2,0,2013-03,2013.0 - First Half,24.0
6320,70893,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,4,4,1,0,2013-06,2013.0 - First Half,37.0
231,28839,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,1,4,2,1,2014-11,2014.0 - Second Half,58.0
520,34421,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,1,3,2,1,2013-01,2013.0 - First Half,39.0
8275,47025,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,5,1,1,2014-09,2014.0 - Second Half,49.0
9750,64325,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,3,5,1,1,2013-07,2013.0 - Second Half,52.0
2607,40464,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,2,3,1,1,2013-11,2013.0 - Second Half,60.0
7214,62187,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,3,3,2,0,2013-05,2013.0 - First Half,56.0
5835,14849,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,1,5,1,1,2013-02,2013.0 - First Half,37.0
3896,27255,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,1,3,2,1,2013-07,2013.0 - Second Half,29.0
10350,54432,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,3,5,2,1,2013-09,2013.0 - Second Half,63.0
663,33996,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,1,5,1,0,2013-11,2013.0 - Second Half,24.0
10675,66334,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,3,5,2,1,2013-03,2013.0 - First Half,57.0
2521,35178,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,1,4,2,1,2013-10,2013.0 - Second Half,42.0
10151,62204,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,3,3,1,1,2012-12,2012.0 - Second Half,52.0
7381,75693,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,4,3,1,0,2012-06,2012.0 - First Half,44.0
4099,30675,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,1,3,2,1,2012-12,2012.0 - Second Half,40.0
9560,83003,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,4,3,2,0,2013-03,2013.0 - First Half,48.0
10172,68655,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,4,3,1,0,2012-10,2012.0 - Second Half,24.0
11191,41411,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,2,3,1,0,2013-07,2013.0 - Second Half,27.0
1411,82623,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,4,3,1,0,2013-10,2013.0 - Second Half,61.0
11030,33181,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,1,4,2,1,2014-03,2014.0 - First Half,38.0
175,71952,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,4,3,2,1,2013-10,2013.0 - Second Half,27.0
2061,50737,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,2,3,2,1,2013-11,2013.0 - Second Half,58.0
6184,68462,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,4,5,2,0,2012-12,2012.0 - Second Half,43.0
4107,46681,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,2,5,2,1,2013-08,2013.0 - Second Half,65.0
2928,52614,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,3,5,1,1,2012-01,2012.0 - First Half,37.0
1245,63810,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,3,3,1,1,2012-11,2012.0 - Second Half,46.0
1729,66426,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,3,5,2,1,2013-02,2013.0 - First Half,52.0
2098,33581,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,1,5,2,1,2013-08,2013.0 - Second Half,44.0
6878,27421,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,1,3,1,0,2012-12,2012.0 - Second Half,58.0
6202,63381,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,3,3,2,1,2012-05,2012.0 - First Half,52.0
9799,83664,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,4,5,1,1,2013-08,2013.0 - Second Half,45.0
8318,90300,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,4,3,2,0,2014-03,2014.0 - First Half,35.0
5642,62499,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,3,4,2,1,2013-09,2013.0 - Second Half,34.0
2669,74293,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,4,3,1,0,2014-04,2014.0 - First Half,21.0
3428,68682,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,4,5,2,0,2013-06,2013.0 - First Half,22.0
8213,14515,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,1,2,2,1,2012-09,2012.0 - Second Half,32.0
615,30507,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,1,3,2,0,2013-11,2013.0 - Second Half,53.0
194,48006,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,2,3,2,1,2014-09,2014.0 - Second Half,49.0
5049,30351,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,1,5,2,1,2013-06,2013.0 - First Half,39.0
10882,53858,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,3,3,2,1,2012-09,2012.0 - Second Half,36.0
8581,49505,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,2,4,2,1,2013-05,2013.0 - First Half,42.0
5929,37401,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,2,5,2,1,2014-06,2014.0 - First Half,41.0
6528,18492,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,1,4,2,1,2014-05,2014.0 - First Half,32.0
1361,82584,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,4,4,2,0,2013-04,2013.0 - First Half,39.0
7284,48686,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,2,3,2,1,2013-04,2013.0 - First Half,60.0
8746,75433,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,4,3,2,1,2014-05,2014.0 - First Half,25.0
5987,10404,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,1,2,2,1,2014-04,2014.0 - First Half,25.0
3725,84865,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,4,5,1,0,2013-09,2013.0 - Second Half,52.0
498,30015,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,1,3,1,1,2014-02,2014.0 - First Half,44.0
10664,51529,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,2,4,1,1,2013-07,2013.0 - Second Half,64.0
456,7500,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,1,2,2,1,2013-07,2013.0 - Second Half,27.0
5012,28691,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,1,3,2,1,2013-04,2013.0 - First Half,24.0
5029,18100,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,1,3,2,0,2013-06,2013.0 - First Half,67.0
5954,42618,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,2,4,1,1,2013-09,2013.0 - Second Half,41.0
2541,24027,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,1,3,2,1,2013-09,2013.0 - Second Half,37.0
2276,57959,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,3,3,1,1,2013-02,2013.0 - First Half,58.0
6131,70829,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,4,2,2,1,2013-01,2013.0 - First Half,33.0
6233,65991,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,3,3,2,1,2012-07,2012.0 - Second Half,36.0
